,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,floors_10,floors_15,floors_20,floors_25,floors_30,floors_35,view_0,view_10,view_20,view_30,view_40,condition_10,condition_20,condition_30,condition_40,condition_50,yr_built_encoded,yr_renovated_encoded,zipcode_freq_encoded,date_10,date_20,date_30,date_40,date_50,date_60,date_70,date_80,date_90,date_100,date_110,date_120
4984,570000.0,4,2.5,2640,11816,0,8,2640.0,0,47.733,-121.968,2400,11816,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,99,0,190,0,0,0,0,1,0,0,0,0,0,0,0
10256,720001.0,3,2.5,1430,2200,0,7,1430.0,0,47.6601,-122.331,1740,4275,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,601,0,0,0,0,0,0,0,1,0,0,0,0
4046,267000.0,3,2.0,1390,6005,0,8,1390.0,0,47.2117,-121.99,1264,5550,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,105,0,234,0,0,0,0,0,0,0,0,0,0,1,0
21271,320000.0,3,3.25,1450,1387,0,8,1180.0,270,47.5556,-122.362,1450,1198,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,113,0,335,0,0,0,0,0,0,1,0,0,0,0,0
10496,397000.0,4,1.75,2020,6000,0,7,1620.0,400,47.577,-122.302,1870,4000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,59,0,343,0,0,0,0,0,0,0,0,1,0,0,0
2201,585000.0,4,2.5,3110,6479,0,9,3110.0,0,47.5408,-121.861,3110,7075,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,105,0,310,0,0,0,0,0,0,0,0,1,0,0,0
9215,1100000.0,4,2.25,3310,8540,0,9,1660.0,1650,47.5603,-122.158,3450,9566,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,73,0,498,0,0,0,0,0,0,1,0,0,0,0,0
9978,755000.0,4,2.5,2660,10452,0,9,2660.0,0,47.6972,-122.104,2890,9025,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,93,0,574,0,0,0,0,1,0,0,0,0,0,0,0
2325,270000.0,4,2.0,1830,5220,0,7,1830.0,0,47.5331,-122.278,1760,5757,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51,0,508,1,0,0,0,0,0,0,0,0,0,0,0
6099,555000.0,3,2.5,3160,4270,0,8,2650.0,510,47.7453,-122.194,2720,12523,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,106,0,195,0,0,0,0,1,0,0,0,0,0,0,0
17922,115000.0,2,1.0,940,6000,0,6,940.0,0,47.4907,-122.336,1310,6000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,43,0,288,0,0,0,0,0,0,1,0,0,0,0,0
8788,270000.0,3,2.25,1750,8400,0,7,1350.0,400,47.4571,-122.272,2020,9110,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,65,0,136,0,0,0,0,0,0,0,0,1,0,0,0
5566,530000.0,3,2.25,1264,1536,0,8,1264.0,0,47.6694,-122.279,1264,2067,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,103,0,229,0,0,0,0,0,0,0,1,0,0,0,0
16771,600000.0,5,2.25,3000,13899,0,8,3000.0,0,47.6373,-122.105,2270,10763,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,75,0,574,0,0,0,0,0,0,1,0,0,0,0,0
7662,365000.0,3,2.25,1960,1985,0,7,1750.0,210,47.5419,-122.289,1760,1985,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,103,0,508,0,0,0,0,1,0,0,0,0,0,0,0
7590,390000.0,3,2.25,1640,2875,0,6,1240.0,400,47.5686,-122.286,1500,3960,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,83,0,508,0,0,0,0,0,0,1,0,0,0,0,0
21093,255500.0,3,2.5,1770,5000,0,7,1770.0,0,47.3358,-122.051,2230,5200,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,109,0,548,0,0,0,0,0,0,0,0,0,1,0,0
17495,210000.0,3,1.0,1110,7962,0,7,1110.0,0,47.5035,-122.36,1200,8094,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,62,0,288,0,0,0,0,0,1,0,0,0,0,0,0
19238,270000.0,3,2.5,1780,5015,0,7,1780.0,0,47.3352,-122.052,2010,5250,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,110,0,548,0,0,0,1,0,0,0,0,0,0,0,0
7555,320000.0,4,2.25,2000,10374,0,7,2000.0,0,47.3342,-122.34,2170,10374,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,67,0,499,0,0,0,1,0,0,0,0,0,0,0,0
9001,230000.0,3,1.0,1640,7187,0,7,1640.0,0,47.455,-122.182,1340,8346,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,66,0,455,0,0,0,0,0,0,0,0,1,0,0,0
20607,805000.0,5,4.5,4600,7810,0,9,3200.0,1400,47.5381,-121.86,4480,6324,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,106,0,310,0,0,0,0,0,0,0,0,0,0,1,0
19596,328000.0,3,2.0,2250,7904,0,8,2250.0,0,47.3165,-122.252,2460,8622,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,98,0,362,0,0,0,0,0,0,1,0,0,0,0,0
5284,210000.0,4,1.0,1200,43560,0,5,1200.0,0,47.3375,-122.123,1400,54450,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,68,0,548,0,0,0,0,0,0,0,1,0,0,0,0
21253,671500.0,3,2.5,1770,1714,0,8,1770.0,0,47.6532,-122.348,1720,3360,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,112,0,601,0,1,0,0,0,0,0,0,0,0,0,0
2500,700000.0,3,2.0,2080,3880,0,7,1160.0,920,47.686,-122.391,1330,3880,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,54,0,553,0,0,0,0,0,1,0,0,0,0,0,0
7305,445000.0,4,2.75,2160,7200,0,7,1220.0,940,47.7177,-122.224,1790,7614,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,76,0,545,0,0,0,0,0,0,0,0,0,0,0,1
15800,426000.0,2,1.0,1630,7680,0,7,830.0,800,47.7092,-122.291,1250,7740,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,47,0,410,0,0,0,0,0,0,0,0,0,0,1,0
14606,395000.0,3,2.0,1470,10125,0,7,1470.0,0,47.7751,-122.222,1440,10125,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,62,0,195,0,0,0,0,0,0,0,0,0,0,1,0
15110,268000.0,3,1.75,1600,7711,0,7,1600.0,0,47.284,-122.202,2100,7711,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,99,0,199,0,0,0,0,0,0,0,0,0,0,1,0
